DATE,PERLIS,KEDAH,PULAUPINANG,PERAK,SELANGOR,NEGERISEMBILAN,MELAKA,JOHOR,PAHANG,TERENGGANU,KELANTAN,SABAH,SARAWAK,KUALALUMPUR,PUTRAJAYA,LABUAN,ROC_PERLIS,ROC_KEDAH,ROC_PULAUPINANG,ROC_PERAK,ROC_SELANGOR,ROC_NEGERISEMBILAN,ROC_MELAKA,ROC_JOHOR,ROC_PAHANG,ROC_TERENGGANU,ROC_KELANTAN,ROC_SABAH,ROC_SARAWAK,ROC_KUALALUMPUR,ROC_PUTRAJAYA,ROC_LABUAN,percentchange_PERLIS,percentchange_KEDAH,percentchange_PULAUPINANG,percentchange_PERAK,percentchange_SELANGOR,percentchange_NEGERISEMBILAN,percentchange_MELAKA,percentchange_JOHOR,percentchange_PAHANG,percentchange_TERENGGANU,percentchange_KELANTAN,percentchange_SABAH,percentchange_SARAWAK,percentchange_KUALALUMPUR,percentchange_PUTRAJAYA,percentchange_LABUAN
2020-03-16,8.0,31.0,15.0,18.0,144.0,42.0,14.0,52.0,19.0,4.0,18.0,57.0,21.0,106.0,0.0,4.0,,,,,,,,,,,,,,,,,-100.0,-100.0,-46.666666666666664,-72.22222222222221,-88.19444444444444,-92.85714285714286,-78.57142857142857,-51.92307692307692,-52.63157894736843,-25.0,-61.111111111111114,-56.14035087719298,-61.904761904761905,-93.39622641509435,inf,-100.0
2020-03-17,0.0,0.0,8.0,5.0,17.0,3.0,3.0,25.0,9.0,3.0,7.0,25.0,8.0,7.0,0.0,0.0,-8.0,-31.0,-7.0,-13.0,-127.0,-39.0,-11.0,-27.0,-10.0,-1.0,-11.0,-32.0,-13.0,-99.0,0.0,-4.0,-100.0,-100.0,-46.666666666666664,-72.22222222222221,-88.19444444444444,-92.85714285714286,-78.57142857142857,-51.92307692307692,-52.63157894736843,-25.0,-61.111111111111114,-56.14035087719298,-61.904761904761905,-93.39622641509435,inf,-100.0
2020-03-18,0.0,5.0,7.0,5.0,31.0,0.0,1.0,11.0,1.0,3.0,5.0,21.0,20.0,6.0,0.0,1.0,0.0,5.0,-1.0,0.0,14.0,-3.0,-2.0,-14.0,-8.0,0.0,-2.0,-4.0,12.0,-1.0,0.0,1.0,inf,inf,-12.5,0.0,82.35294117647058,-100.0,-66.66666666666667,-56.00000000000001,-88.88888888888889,0.0,-28.57142857142857,-16.000000000000004,150.0,-14.28571428571429,inf,inf
2020-03-19,1.0,4.0,2.0,7.0,31.0,11.0,2.0,13.0,3.0,1.0,14.0,9.0,2.0,4.0,6.0,0.0,1.0,-1.0,-5.0,2.0,0.0,11.0,1.0,2.0,2.0,-2.0,9.0,-12.0,-18.0,-2.0,6.0,-1.0,inf,-19.999999999999996,-71.42857142857143,39.99999999999999,0.0,inf,100.0,18.181818181818187,200.0,-66.66666666666667,179.99999999999997,-57.14285714285714,-90.0,-33.333333333333336,inf,-100.0
2020-03-20,0.0,1.0,5.0,10.0,40.0,9.0,2.0,13.0,4.0,9.0,7.0,7.0,7.0,16.0,0.0,0.0,-1.0,-3.0,3.0,3.0,9.0,-2.0,0.0,0.0,1.0,8.0,-7.0,-2.0,5.0,12.0,-6.0,0.0,-100.0,-75.0,150.0,42.85714285714286,29.032258064516125,-18.181818181818176,0.0,0.0,33.33333333333333,800.0,-50.0,-22.22222222222222,250.0,300.0,-100.0,inf
2020-03-21,0.0,6.0,13.0,10.0,29.0,5.0,0.0,15.0,1.0,7.0,10.0,17.0,10.0,27.0,3.0,0.0,0.0,5.0,8.0,0.0,-11.0,-4.0,-2.0,2.0,-3.0,-2.0,3.0,10.0,3.0,11.0,3.0,0.0,inf,500.0,160.0,0.0,-27.500000000000004,-44.44444444444444,-100.0,15.384615384615374,-75.0,-22.22222222222222,42.85714285714286,142.85714285714283,42.85714285714286,68.75,inf,inf
2020-03-22,0.0,5.0,8.0,11.0,17.0,8.0,1.0,16.0,3.0,5.0,2.0,22.0,8.0,17.0,0.0,0.0,0.0,-1.0,-5.0,1.0,-12.0,3.0,1.0,1.0,2.0,-2.0,-8.0,5.0,-2.0,-10.0,-3.0,0.0,inf,-16.666666666666664,-38.46153846153846,10.000000000000009,-41.379310344827594,60.00000000000001,inf,6.666666666666665,200.0,-28.57142857142857,-80.0,29.41176470588236,-19.999999999999996,-37.03703703703704,-100.0,inf
2020-03-23,0.0,7.0,8.0,15.0,45.0,16.0,2.0,13.0,16.0,6.0,8.0,11.0,2.0,59.0,4.0,0.0,0.0,2.0,0.0,4.0,28.0,8.0,1.0,-3.0,13.0,1.0,6.0,-11.0,-6.0,42.0,4.0,0.0,inf,39.99999999999999,0.0,36.36363636363635,164.70588235294116,100.0,100.0,-18.75,433.3333333333333,19.999999999999996,300.0,-50.0,-75.0,247.05882352941177,inf,inf
2020-03-24,0.0,5.0,2.0,17.0,27.0,15.0,6.0,4.0,0.0,0.0,7.0,1.0,5.0,15.0,2.0,0.0,0.0,-2.0,-6.0,2.0,-18.0,-1.0,4.0,-9.0,-16.0,-6.0,-1.0,-10.0,3.0,-44.0,-2.0,0.0,inf,-28.57142857142857,-75.0,13.33333333333333,-40.0,-6.25,200.0,-69.23076923076923,-100.0,-100.0,-12.5,-90.9090909090909,150.0,-74.57627118644068,-50.0,inf
2020-03-25,1.0,5.0,2.0,30.0,54.0,14.0,2.0,34.0,8.0,0.0,6.0,0.0,2.0,13.0,1.0,0.0,1.0,0.0,0.0,13.0,27.0,-1.0,-4.0,30.0,8.0,0.0,-1.0,-1.0,-3.0,-2.0,-1.0,0.0,inf,0.0,0.0,76.47058823529412,100.0,-6.666666666666665,-66.66666666666667,750.0,inf,inf,-14.28571428571429,-100.0,-60.0,-13.33333333333333,-50.0,inf
