District,Date,NumberOfCumulativeCases
Gombak,6/4/2020,108
HuluLangat,6/4/2020,324
HuluSelangor,6/4/2020,27
Klang,6/4/2020,115
KualaLangat,6/4/2020,22
KualaSelangor,6/4/2020,27
Petaling,6/4/2020,290
SabakBernam,6/4/2020,8
Sepang,6/4/2020,49
Gombak,7/4/2020,110
HuluLangat,7/4/2020,340
HuluSelangor,7/4/2020,33
Klang,7/4/2020,129
KualaLangat,7/4/2020,22
KualaSelangor,7/4/2020,28
Petaling,7/4/2020,294
SabakBernam,7/4/2020,10
Sepang,7/4/2020,54
Gombak,8/4/2020,115
HuluLangat,8/4/2020,359
HuluSelangor,8/4/2020,37
Klang,8/4/2020,143
KualaLangat,8/4/2020,23
KualaSelangor,8/4/2020,29
Petaling,8/4/2020,303
SabakBernam,8/4/2020,11
Sepang,8/4/2020,58
Gombak,9/4/2020,121
HuluLangat,9/4/2020,366
HuluSelangor,9/4/2020,43
Klang,9/4/2020,152
KualaLangat,9/4/2020,23
KualaSelangor,9/4/2020,29
Petaling,9/4/2020,314
SabakBernam,9/4/2020,11
Sepang,9/4/2020,59
Gombak,10/4/2020,123
HuluLangat,10/4/2020,376
HuluSelangor,10/4/2020,43
Klang,10/4/2020,157
KualaLangat,10/4/2020,24
KualaSelangor,10/4/2020,29
Petaling,10/4/2020,324
SabakBernam,10/4/2020,11
Sepang,10/4/2020,61
Gombak,11/4/2020,129
HuluLangat,11/4/2020,382
HuluSelangor,11/4/2020,45
Klang,11/4/2020,162
KualaLangat,11/4/2020,25
KualaSelangor,11/4/2020,30
Petaling,11/4/2020,332
SabakBernam,11/4/2020,14
Sepang,11/4/2020,64
Gombak,12/4/2020,132
HuluLangat,12/4/2020,408
HuluSelangor,12/4/2020,45
Klang,12/4/2020,164
KualaLangat,12/4/2020,25
KualaSelangor,12/4/2020,32
Petaling,12/4/2020,346
SabakBernam,12/4/2020,18
Sepang,12/4/2020,66
Gombak,13/4/2020,136
HuluLangat,13/4/2020,402
HuluSelangor,13/4/2020,50
Klang,13/4/2020,164
KualaLangat,13/4/2020,25
KualaSelangor,13/4/2020,32
Petaling,13/4/2020,351
SabakBernam,13/4/2020,23
Sepang,13/4/2020,66
Gombak,14/4/2020,141
HuluLangat,14/4/2020,433
HuluSelangor,14/4/2020,49
Klang,14/4/2020,167
KualaLangat,14/4/2020,25
KualaSelangor,14/4/2020,35
Petaling,14/4/2020,359
SabakBernam,14/4/2020,23
Sepang,14/4/2020,67
Gombak,15/4/2020,142
HuluLangat,15/4/2020,440
HuluSelangor,15/4/2020,49
Klang,15/4/2020,171
KualaLangat,15/4/2020,25
KualaSelangor,15/4/2020,35
Petaling,15/4/2020,363
SabakBernam,15/4/2020,23
Sepang,15/4/2020,68
Gombak,16/4/2020,143
HuluLangat,16/4/2020,443
HuluSelangor,16/4/2020,49
Klang,16/4/2020,172
KualaLangat,16/4/2020,25
KualaSelangor,16/4/2020,35
Petaling,16/4/2020,366
SabakBernam,16/4/2020,23
Sepang,16/4/2020,69
Gombak,17/4/2020,144
HuluLangat,17/4/2020,445
HuluSelangor,17/4/2020,50
Klang,17/4/2020,173
KualaLangat,17/4/2020,27
KualaSelangor,17/4/2020,35
Petaling,17/4/2020,371
SabakBernam,17/4/2020,23
Sepang,17/4/2020,70
Gombak,18/4/2020,144
HuluLangat,18/4/2020,445
HuluSelangor,18/4/2020,50
Klang,18/4/2020,173
KualaLangat,18/4/2020,27
KualaSelangor,18/4/2020,35
Petaling,18/4/2020,373
SabakBernam,18/4/2020,23
Sepang,18/4/2020,70
Gombak,19/4/2020,144
HuluLangat,19/4/2020,446
HuluSelangor,19/4/2020,50
Klang,19/4/2020,173
KualaLangat,19/4/2020,27
KualaSelangor,19/4/2020,35
Petaling,19/4/2020,374
SabakBernam,19/4/2020,23
Sepang,19/4/2020,71
Gombak,20/4/2020,144
HuluLangat,20/4/2020,446
HuluSelangor,20/4/2020,50
Klang,20/4/2020,173
KualaLangat,20/4/2020,29
KualaSelangor,20/4/2020,35
Petaling,20/4/2020,374
SabakBernam,20/4/2020,23
Sepang,20/4/2020,71
Gombak,21/4/2020,144
HuluLangat,21/4/2020,446
HuluSelangor,21/4/2020,50
Klang,21/4/2020,173
KualaLangat,21/4/2020,32
KualaSelangor,21/4/2020,35
Petaling,21/4/2020,371
SabakBernam,21/4/2020,23
Sepang,21/4/2020,71
Gombak,22/4/2020,144
HuluLangat,22/4/2020,446
HuluSelangor,22/4/2020,50
Klang,22/4/2020,173
KualaLangat,22/4/2020,32
KualaSelangor,22/4/2020,35
Petaling,22/4/2020,372
SabakBernam,22/4/2020,23
Sepang,22/4/2020,71
Gombak,23/4/2020,146
HuluLangat,23/4/2020,456
HuluSelangor,23/4/2020,50
Klang,23/4/2020,173
KualaLangat,23/4/2020,32
KualaSelangor,23/4/2020,35
Petaling,23/4/2020,371
SabakBernam,23/4/2020,23
Sepang,23/4/2020,71
Gombak,24/4/2020,146
HuluLangat,24/4/2020,471
HuluSelangor,24/4/2020,50
Klang,24/4/2020,173
KualaLangat,24/4/2020,32
KualaSelangor,24/4/2020,35
Petaling,24/4/2020,373
SabakBernam,24/4/2020,23
Sepang,24/4/2020,71
Gombak,25/4/2020,144
HuluLangat,25/4/2020,473
HuluSelangor,25/4/2020,50
Klang,25/4/2020,173
KualaLangat,25/4/2020,32
KualaSelangor,25/4/2020,35
Petaling,25/4/2020,372
SabakBernam,25/4/2020,23
Sepang,25/4/2020,71
Gombak,26/4/2020,150
HuluLangat,26/4/2020,473
HuluSelangor,26/4/2020,50
Klang,26/4/2020,173
KualaLangat,26/4/2020,32
KualaSelangor,26/4/2020,35
Petaling,26/4/2020,374
SabakBernam,26/4/2020,23
Sepang,26/4/2020,71
Gombak,27/4/2020,150
HuluLangat,27/4/2020,473
HuluSelangor,27/4/2020,50
Klang,27/4/2020,175
KualaLangat,27/4/2020,32
KualaSelangor,27/4/2020,35
Petaling,27/4/2020,374
SabakBernam,27/4/2020,24
Sepang,27/4/2020,71
Gombak,28/4/2020,151
HuluLangat,28/4/2020,475
HuluSelangor,28/4/2020,50
Klang,28/4/2020,175
KualaLangat,28/4/2020,32
KualaSelangor,28/4/2020,35
Petaling,28/4/2020,374
SabakBernam,28/4/2020,24
Sepang,28/4/2020,71
Gombak,29/4/2020,151
HuluLangat,29/4/2020,477
HuluSelangor,29/4/2020,50
Klang,29/4/2020,175
KualaLangat,29/4/2020,32
KualaSelangor,29/4/2020,35
Petaling,29/4/2020,376
SabakBernam,29/4/2020,24
Sepang,29/4/2020,71
Gombak,30/4/2020,164
HuluLangat,30/4/2020,477
HuluSelangor,30/4/2020,50
Klang,30/4/2020,175
KualaLangat,30/4/2020,32
KualaSelangor,30/4/2020,35
Petaling,30/4/2020,378
SabakBernam,30/4/2020,24
Sepang,30/4/2020,71
Gombak,1/5/2020,178
HuluLangat,1/5/2020,479
HuluSelangor,1/5/2020,51
Klang,1/5/2020,176
KualaLangat,1/5/2020,32
KualaSelangor,1/5/2020,35
Petaling,1/5/2020,379
SabakBernam,1/5/2020,24
Sepang,1/5/2020,71
Gombak,2/5/2020,215
HuluLangat,2/5/2020,479
HuluSelangor,2/5/2020,51
Klang,2/5/2020,178
KualaLangat,2/5/2020,32
KualaSelangor,2/5/2020,48
Petaling,2/5/2020,384
SabakBernam,2/5/2020,24
Sepang,2/5/2020,71
Gombak,3/5/2020,225
HuluLangat,3/5/2020,480
HuluSelangor,3/5/2020,51
Klang,3/5/2020,178
KualaLangat,3/5/2020,32
KualaSelangor,3/5/2020,48
Petaling,3/5/2020,384
SabakBernam,3/5/2020,24
Sepang,3/5/2020,71
Gombak,4/5/2020,232
HuluLangat,4/5/2020,480
HuluSelangor,4/5/2020,51
Klang,4/5/2020,178
KualaLangat,4/5/2020,32
KualaSelangor,4/5/2020,49
Petaling,4/5/2020,397
SabakBernam,4/5/2020,24
Sepang,4/5/2020,71
Gombak,5/5/2020,232
HuluLangat,5/5/2020,480
HuluSelangor,5/5/2020,51
Klang,5/5/2020,178
KualaLangat,5/5/2020,32
KualaSelangor,5/5/2020,49
Petaling,5/5/2020,397
SabakBernam,5/5/2020,24
Sepang,5/5/2020,71
Gombak,6/5/2020,232
HuluLangat,6/5/2020,484
HuluSelangor,6/5/2020,52
Klang,6/5/2020,180
KualaLangat,6/5/2020,32
KualaSelangor,6/5/2020,49
Petaling,6/5/2020,399
SabakBernam,6/5/2020,24
Sepang,6/5/2020,71
Gombak,7/5/2020,232
HuluLangat,7/5/2020,498
HuluSelangor,7/5/2020,53
Klang,7/5/2020,180
KualaLangat,7/5/2020,32
KualaSelangor,7/5/2020,49
Petaling,7/5/2020,400
SabakBernam,7/5/2020,24
Sepang,7/5/2020,71
Gombak,8/5/2020,232
HuluLangat,8/5/2020,498
HuluSelangor,8/5/2020,53
Klang,8/5/2020,181
KualaLangat,8/5/2020,32
KualaSelangor,8/5/2020,49
Petaling,8/5/2020,404
SabakBernam,8/5/2020,24
Sepang,8/5/2020,71
Gombak,9/5/2020,233
HuluLangat,9/5/2020,498
HuluSelangor,9/5/2020,53
Klang,9/5/2020,181
KualaLangat,9/5/2020,32
KualaSelangor,9/5/2020,49
Petaling,9/5/2020,413
SabakBernam,9/5/2020,24
Sepang,9/5/2020,71
Gombak,10/5/2020,234
HuluLangat,10/5/2020,498
HuluSelangor,10/5/2020,59
Klang,10/5/2020,181
KualaLangat,10/5/2020,32
KualaSelangor,10/5/2020,49
Petaling,10/5/2020,413
SabakBernam,10/5/2020,25
Sepang,10/5/2020,71
Gombak,11/5/2020,234
HuluLangat,11/5/2020,499
HuluSelangor,11/5/2020,61
Klang,11/5/2020,181
KualaLangat,11/5/2020,32
KualaSelangor,11/5/2020,49
Petaling,11/5/2020,413
SabakBernam,11/5/2020,25
Sepang,11/5/2020,71
Gombak,12/5/2020,234
HuluLangat,12/5/2020,500
HuluSelangor,12/5/2020,61
Klang,12/5/2020,181
KualaLangat,12/5/2020,32
KualaSelangor,12/5/2020,49
Petaling,12/5/2020,415
SabakBernam,12/5/2020,25
Sepang,12/5/2020,71
Gombak,13/5/2020,234
HuluLangat,13/5/2020,501
HuluSelangor,13/5/2020,61
Klang,13/5/2020,181
KualaLangat,13/5/2020,32
KualaSelangor,13/5/2020,49
Petaling,13/5/2020,415
SabakBernam,13/5/2020,26
Sepang,13/5/2020,71
Gombak,14/5/2020,234
HuluLangat,14/5/2020,501
HuluSelangor,14/5/2020,60
Klang,14/5/2020,181
KualaLangat,14/5/2020,32
KualaSelangor,14/5/2020,49
Petaling,14/5/2020,416
SabakBernam,14/5/2020,26
