State,Date,NumberofConfirmedCases
Perlis,20/3/2020,0
Kedah,20/3/2020,1
Pulau Pinang,20/3/2020,5
Perak,20/3/2020,10
Selangor,20/3/2020,40
Negeri Sembilan,20/3/2020,9
Melaka,20/3/2020,2
Johor,20/3/2020,13
Pahang,20/3/2020,4
Terengganu,20/3/2020,9
Kelantan,20/3/2020,7
Sabah,20/3/2020,7
Sarawak,20/3/2020,7
Kuala Lumpur,20/3/2020,16
Putrajaya,20/3/2020,0
Labuan,20/3/2020,0
Perlis,21/3/2020,0
Kedah,21/3/2020,11
Pulau Pinang,21/3/2020,13
Perak,21/3/2020,10
Selangor,21/3/2020,29
Negeri Sembilan,21/3/2020,5
Melaka,21/3/2020,0
Johor,21/3/2020,15
Pahang,21/3/2020,1
Terengganu,21/3/2020,7
Kelantan,21/3/2020,10
Sabah,21/3/2020,17
Sarawak,21/3/2020,10
Kuala Lumpur,21/3/2020,27
Putrajaya,21/3/2020,3
Labuan,21/3/2020,0
Perlis,22/3/2020,0
Kedah,22/3/2020,5
Pulau Pinang,22/3/2020,8
Perak,22/3/2020,11
Selangor,22/3/2020,17
Negeri Sembilan,22/3/2020,8
Melaka,22/3/2020,1
Johor,22/3/2020,16
Pahang,22/3/2020,3
Terengganu,22/3/2020,5
Kelantan,22/3/2020,2
Sabah,22/3/2020,22
Sarawak,22/3/2020,8
Kuala Lumpur,22/3/2020,17
Putrajaya,22/3/2020,0
Labuan,22/3/2020,0
Perlis,23/3/2020,0
Kedah,23/3/2020,2
Pulau Pinang,23/3/2020,8
Perak,23/3/2020,15
Selangor,23/3/2020,45
Negeri Sembilan,23/3/2020,16
Melaka,23/3/2020,2
Johor,23/3/2020,13
Pahang,23/3/2020,16
Terengganu,23/3/2020,6
Kelantan,23/3/2020,8
Sabah,23/3/2020,11
Sarawak,23/3/2020,2
Kuala Lumpur,23/3/2020,59
Putrajaya,23/3/2020,4
Labuan,23/3/2020,0
Perlis,24/3/2020,0
Kedah,24/3/2020,5
Pulau Pinang,24/3/2020,2
Perak,24/3/2020,17
Selangor,24/3/2020,27
Negeri Sembilan,24/3/2020,15
Melaka,24/3/2020,6
Johor,24/3/2020,4
Pahang,24/3/2020,0
Terengganu,24/3/2020,0
Kelantan,24/3/2020,7
Sabah,24/3/2020,1
Sarawak,24/3/2020,5
Kuala Lumpur,24/3/2020,15
Putrajaya,24/3/2020,2
Labuan,24/3/2020,0
Perlis,25/3/2020,1
Kedah,25/3/2020,5
Pulau Pinang,25/3/2020,2
Perak,25/3/2020,30
Selangor,25/3/2020,54
Negeri Sembilan,25/3/2020,14
Melaka,25/3/2020,2
Johor,25/3/2020,34
Pahang,25/3/2020,8
Terengganu,25/3/2020,0
Kelantan,25/3/2020,6
Sabah,25/3/2020,0
Sarawak,25/3/2020,2
Kuala Lumpur,25/3/2020,13
Putrajaya,25/3/2020,1
Labuan,25/3/2020,0
Perlis,26/3/2020,0
Kedah,26/3/2020,3
Pulau Pinang,26/3/2020,4
Perak,26/3/2020,23
Selangor,26/3/2020,75
Negeri Sembilan,26/3/2020,9
Melaka,26/3/2020,0
Johor,26/3/2020,43
Pahang,26/3/2020,2
Terengganu,26/3/2020,1
Kelantan,26/3/2020,10
Sabah,26/3/2020,2
Sarawak,26/3/2020,10
Kuala Lumpur,26/3/2020,51
Putrajaya,26/3/2020,2
Labuan,26/3/2020,0
Perlis,27/3/2020,0
Kedah,27/3/2020,1
Pulau Pinang,27/3/2020,6
Perak,27/3/2020,8
Selangor,27/3/2020,36
Negeri Sembilan,27/3/2020,6
Melaka,27/3/2020,0
Johor,27/3/2020,20
Pahang,27/3/2020,4
Terengganu,27/3/2020,2
Kelantan,27/3/2020,4
Sabah,27/3/2020,10
Sarawak,27/3/2020,15
Kuala Lumpur,27/3/2020,16
Putrajaya,27/3/2020,2
Labuan,27/3/2020,0
Perlis,28/3/2020,0
Kedah,28/3/2020,1
Pulau Pinang,28/3/2020,6
Perak,28/3/2020,6
Selangor,28/3/2020,33
Negeri Sembilan,28/3/2020,15
Melaka,28/3/2020,9
Johor,28/3/2020,26
Pahang,28/3/2020,14
Terengganu,28/3/2020,4
Kelantan,28/3/2020,10
Sabah,28/3/2020,15
Sarawak,28/3/2020,8
Kuala Lumpur,28/3/2020,7
Putrajaya,28/3/2020,0
Labuan,28/3/2020,5
Perlis,29/3/2020,0
Kedah,29/3/2020,1
Pulau Pinang,29/3/2020,1
Perak,29/3/2020,11
Selangor,29/3/2020,33
Negeri Sembilan,29/3/2020,9
Melaka,29/3/2020,1
Johor,29/3/2020,24
Pahang,29/3/2020,12
Terengganu,29/3/2020,2
Kelantan,29/3/2020,15
Sabah,29/3/2020,0
Sarawak,29/3/2020,11
Kuala Lumpur,29/3/2020,28
Putrajaya,29/3/2020,2
Labuan,29/3/2020,0
Perlis,30/3/2020,1
Kedah,30/3/2020,2
Pulau Pinang,30/3/2020,1
Perak,30/3/2020,8
Selangor,30/3/2020,60
Negeri Sembilan,30/3/2020,10
Melaka,30/3/2020,7
Johor,30/3/2020,24
Pahang,30/3/2020,3
Terengganu,30/3/2020,0
Kelantan,30/3/2020,4
Sabah,30/3/2020,4
Sarawak,30/3/2020,6
Kuala Lumpur,30/3/2020,24
Putrajaya,30/3/2020,2
Labuan,30/3/2020,0
Perlis,31/3/2020,1
Kedah,31/3/2020,0
Pulau Pinang,31/3/2020,6
Perak,31/3/2020,5
Selangor,31/3/2020,32
Negeri Sembilan,31/3/2020,9
Melaka,31/3/2020,2
Johor,31/3/2020,16
Pahang,31/3/2020,3
Terengganu,31/3/2020,0
Kelantan,31/3/2020,4
Sabah,31/3/2020,5
Sarawak,31/3/2020,21
Kuala Lumpur,31/3/2020,34
Putrajaya,31/3/2020,2
Labuan,31/3/2020,0
Perlis,1/4/2020,0
Kedah,1/4/2020,2
Pulau Pinang,1/4/2020,2
Perak,1/4/2020,5
Selangor,1/4/2020,22
Negeri Sembilan,1/4/2020,8
Melaka,1/4/2020,11
Johor,1/4/2020,19
Pahang,1/4/2020,9
Terengganu,1/4/2020,1
Kelantan,1/4/2020,3
Sabah,1/4/2020,3
Sarawak,1/4/2020,32
Kuala Lumpur,1/4/2020,25
Putrajaya,1/4/2020,0
Labuan,1/4/2020,0
Perlis,2/4/2020,0
Kedah,2/4/2020,1
Pulau Pinang,2/4/2020,2
Perak,2/4/2020,6
Selangor,2/4/2020,74
Negeri Sembilan,2/4/2020,18
Melaka,2/4/2020,7
Johor,2/4/2020,27
Pahang,2/4/2020,3
Terengganu,2/4/2020,2
Kelantan,2/4/2020,3
Sabah,2/4/2020,1
Sarawak,2/4/2020,23
Kuala Lumpur,2/4/2020,34
Putrajaya,2/4/2020,7
Labuan,2/4/2020,0
Perlis,3/4/2020,0
Kedah,3/4/2020,1
Pulau Pinang,3/4/2020,0
Perak,3/4/2020,5
Selangor,3/4/2020,63
Negeri Sembilan,3/4/2020,4
Melaka,3/4/2020,3
Johor,3/4/2020,21
Pahang,3/4/2020,13
Terengganu,3/4/2020,18
Kelantan,3/4/2020,0
Sabah,3/4/2020,5
Sarawak,3/4/2020,28
Kuala Lumpur,3/4/2020,55
Putrajaya,3/4/2020,1
Labuan,3/4/2020,0
Perlis,4/4/2020,0
Kedah,4/4/2020,0
Pulau Pinang,4/4/2020,1
Perak,4/4/2020,2
Selangor,4/4/2020,27
Negeri Sembilan,4/4/2020,9
Melaka,4/4/2020,2
Johor,4/4/2020,6
Pahang,4/4/2020,24
Terengganu,4/4/2020,6
Kelantan,4/4/2020,2
Sabah,4/4/2020,10
Sarawak,4/4/2020,7
Kuala Lumpur,4/4/2020,52
Putrajaya,4/4/2020,1
Labuan,4/4/2020,1
Perlis,5/4/2020,1
Kedah,5/4/2020,1
Pulau Pinang,5/4/2020,2
Perak,5/4/2020,6
Selangor,5/4/2020,53
