DATE,PERLIS,KEDAH,PULAUPINANG,PERAK,SELANGOR,NEGERISEMBILAN,MELAKA,JOHOR,PAHANG,TERENGGANU,KELANTAN,SABAH,SARAWAK,KUALALUMPUR,PUTRAJAYA,LABUAN,ROC_PERLIS,ROC_KEDAH,ROC_PULAUPINANG,ROC_PERAK,ROC_SELANGOR,ROC_NEGERISEMBILAN,ROC_MELAKA,ROC_JOHOR,ROC_PAHANG,ROC_TERENGGANU,ROC_KELANTAN,ROC_SABAH,ROC_SARAWAK,ROC_KUALALUMPUR,ROC_PUTRAJAYA,ROC_LABUAN,percentchange_PERLIS,percentchange_KEDAH,percentchange_PULAUPINANG,percentchange_PERAK,percentchange_SELANGOR,percentchange_NEGERISEMBILAN,percentchange_MELAKA,percentchange_JOHOR,percentchange_PAHANG,percentchange_TERENGGANU,percentchange_KELANTAN,percentchange_SABAH,percentchange_SARAWAK,percentchange_KUALALUMPUR,percentchange_PUTRAJAYA,percentchange_LABUAN
2020-03-16,8,31,15,18,144,42,14,52,19,4,18,57,21,106,0,4,,,,,,,,,,,,,,,,,0.0,0.0,53.33333333333334,27.777777777777768,11.805555555555557,7.14285714285714,21.42857142857142,48.07692307692308,47.36842105263157,75.0,38.888888888888886,43.85964912280702,38.095238095238095,6.60377358490567,inf,0.0
2020-03-17,8,31,23,23,161,45,17,77,28,7,25,82,29,113,0,4,0.0,0.0,8.0,5.0,17.0,3.0,3.0,25.0,9.0,3.0,7.0,25.0,8.0,7.0,0.0,0.0,0.0,0.0,53.33333333333334,27.777777777777768,11.805555555555557,7.14285714285714,21.42857142857142,48.07692307692308,47.36842105263157,75.0,38.888888888888886,43.85964912280702,38.095238095238095,6.60377358490567,inf,0.0
2020-03-18,8,36,30,28,192,45,18,88,29,10,30,103,49,119,0,5,0.0,5.0,7.0,5.0,31.0,0.0,1.0,11.0,1.0,3.0,5.0,21.0,20.0,6.0,0.0,1.0,0.0,16.129032258064523,30.434782608695656,21.739130434782616,19.254658385093173,0.0,5.882352941176472,14.28571428571428,3.571428571428581,42.85714285714286,19.999999999999996,25.609756097560975,68.96551724137932,5.3097345132743445,inf,25.0
2020-03-19,9,40,32,35,223,56,20,101,32,11,44,112,51,123,6,5,1.0,4.0,2.0,7.0,31.0,11.0,2.0,13.0,3.0,1.0,14.0,9.0,2.0,4.0,6.0,0.0,12.5,11.111111111111116,6.666666666666665,25.0,16.145833333333325,24.444444444444446,11.111111111111116,14.77272727272727,10.344827586206895,10.000000000000009,46.66666666666666,8.737864077669899,4.081632653061229,3.3613445378151363,inf,0.0
2020-03-20,9,41,37,45,263,65,22,114,36,20,51,119,58,139,6,5,0.0,1.0,5.0,10.0,40.0,9.0,2.0,13.0,4.0,9.0,7.0,7.0,7.0,16.0,0.0,0.0,0.0,2.499999999999991,15.625,28.57142857142858,17.937219730941713,16.07142857142858,10.000000000000009,12.871287128712861,12.5,81.81818181818181,15.909090909090917,6.25,13.725490196078427,13.008130081300816,0.0,0.0
2020-03-21,9,47,50,55,292,70,22,129,37,27,61,136,68,166,9,5,0.0,6.0,13.0,10.0,29.0,5.0,0.0,15.0,1.0,7.0,10.0,17.0,10.0,27.0,3.0,0.0,0.0,14.634146341463406,35.13513513513513,22.222222222222232,11.026615969581744,7.692307692307687,0.0,13.157894736842103,2.777777777777768,35.00000000000001,19.6078431372549,14.28571428571428,17.24137931034482,19.424460431654666,50.0,0.0
2020-03-22,9,52,58,66,309,78,23,145,40,32,63,158,76,183,9,5,0.0,5.0,8.0,11.0,17.0,8.0,1.0,16.0,3.0,5.0,2.0,22.0,8.0,17.0,0.0,0.0,0.0,10.63829787234043,15.999999999999993,19.999999999999996,5.821917808219168,11.428571428571432,4.545454545454541,12.4031007751938,8.108108108108114,18.518518518518512,3.2786885245901676,16.176470588235304,11.764705882352944,10.24096385542168,0.0,0.0
2020-03-23,9,59,66,81,354,94,25,158,56,38,71,169,78,242,13,5,0.0,7.0,8.0,15.0,45.0,16.0,2.0,13.0,16.0,6.0,8.0,11.0,2.0,59.0,4.0,0.0,0.0,13.461538461538458,13.793103448275868,22.72727272727273,14.563106796116498,20.512820512820507,8.695652173913038,8.965517241379306,39.99999999999999,18.75,12.698412698412698,6.962025316455689,2.6315789473684292,32.24043715846994,44.44444444444444,0.0
2020-03-24,9,64,68,98,381,109,31,162,56,38,78,170,83,257,15,5,0.0,5.0,2.0,17.0,27.0,15.0,6.0,4.0,0.0,0.0,7.0,1.0,5.0,15.0,2.0,0.0,0.0,8.47457627118644,3.0303030303030276,20.98765432098766,7.6271186440677985,15.957446808510634,24.0,2.5316455696202445,0.0,0.0,9.859154929577475,0.591715976331364,6.41025641025641,6.198347107438007,15.384615384615374,0.0
2020-03-25,10,69,70,128,435,123,33,196,64,38,84,170,85,270,16,5,1.0,5.0,2.0,30.0,54.0,14.0,2.0,34.0,8.0,0.0,6.0,0.0,2.0,13.0,1.0,0.0,11.111111111111116,7.8125,2.941176470588225,30.612244897959172,14.173228346456689,12.844036697247695,6.451612903225801,20.98765432098766,14.28571428571428,0.0,7.692307692307687,0.0,2.4096385542168752,5.058365758754868,6.666666666666665,0.0
